"Provinsi","n","DW_awal","p_awal","rho_CO","DW_CO","p_CO","rho_HL","DW_HL","p_HL"
"ACEH",12,0.956349112886159,0.00647060200352893,0.43928548445468,1.08097527225149,0.0155034602831641,0.54,1.10894898929462,0.0181143050614212
"BALI",12,0.875459712470582,0.00352681287540292,0.225751591115278,1.28203360406295,0.0421424696618598,0.74,2.13847172052553,0.442071605661502
"BANTEN",12,0.696492759492236,0.000647145874879327,0.354651539252145,1.12934566756573,0.0202149818615454,0.84,1.9563373041859,0.320129694763737
"BENGKULU",12,0.662086059798173,0.000433354731524049,0.488622312254911,0.901065039617291,0.00479182631870871,0.99,1.54602847602133,0.112997618184506
"DI YOGYAKARTA",12,0.773478763260965,0.0014404589001731,0.503714033074557,0.963683666277014,0.00749237874101504,0.68,1.05995129183168,0.0137348681096381
"DKI JAKARTA",12,0.530147468243435,6.4202672993108e-05,0.484896156179047,0.984931021371159,0.00863228217308191,0.9,1.89315366026605,0.281149435114242
"GORONTALO",12,1.26437067773148,0.0374067794905945,0.213146357825032,1.42244190301167,0.0740082483670588,0.34,1.48960684253289,0.093856786977607
"JAMBI",12,0.609697103574559,0.000220604734019587,0.326007485523153,1.1032422983075,0.0175568794277381,0.9,2.52738537309685,0.70962431552948
"JAWA BARAT",12,0.795213217801412,0.00176820210984394,0.332982504007709,1.11658064738565,0.0188802506675923,0.88,2.0823375487331,0.403307351595352
"JAWA TENGAH",12,0.534579990172698,6.93826209242629e-05,0.526902512910129,0.818127156948914,0.00245077633915107,0.99,1.54984256672723,0.114374604855601
"JAWA TIMUR",12,0.599587761653169,0.000191603540808955,0.365144348616812,1.02835699981482,0.0113674196014857,0.99,2.58283635485177,0.743781341667936
"KALIMANTAN BARAT",12,0.693498209458298,0.000625681652952091,0.269346141934274,0.990021826768844,0.00892397039764502,0.81,1.84108229246954,0.250710402917763
"KALIMANTAN SELATAN",12,0.663570206897913,0.000441196021117694,0.416241609877091,1.05618655978612,0.0134348912552157,0.93,1.92836202120482,0.302611271175878
"KALIMANTAN TENGAH",12,0.881637141923667,0.00370484201987076,0.407975801457215,1.12832027923997,0.0201052480403985,0.7,1.39135005141896,0.0658640159043445
"KALIMANTAN TIMUR",12,1.56839503656082,0.120886174149856,0.0161661817860089,1.83133287877134,0.24519467992977,0.15,2.04627806499982,0.378881879228276
"KALIMANTAN UTARA",9,1.64332198575793,0.145537122343764,0.111302384841074,1.7453659542423,0.180235433657785,0.16,1.8069133498467,0.207443189725125
"KEP. BANGKA BELITUNG",12,1.01045219078481,0.00932131005412535,0.234973475846339,1.26513200034827,0.0391157290029421,0.75,1.92294488752881,0.299265524667463
"KEP. RIAU",12,0.772404555045423,0.00142562432416025,0.146071173845641,1.21082497809918,0.0304522817131018,0.65,1.94645874644379,0.313898568369558
"LAMPUNG",12,0.656202026328685,0.000403373863786435,0.533020447211266,0.787552019815513,0.00186446120354026,0.99,1.24477179575385,0.0356819353998688
"MALUKU",12,0.842481671799458,0.00268715394611092,0.378090745379032,1.04401970425655,0.0124989874566624,0.89,1.55291364953461,0.11549105325205
"MALUKU UTARA",12,1.12045644917877,0.0180385171274095,0.222871068513713,1.30310599624453,0.0461469519672592,0.55,1.75618771677824,0.204763199766892
"NUSA TENGGARA BARAT",12,0.838112647198512,0.00258900070455509,0.296558635924353,1.24953186677465,0.0364643176793292,0.76,2.05024332942792,0.381546509901763
"NUSA TENGGARA TIMUR",12,0.933945401590105,0.00551255812156064,0.273346109656645,1.27912657656421,0.0416102844930679,0.61,1.64363506420937,0.151594980363571
"PAPUA",12,0.928782871977671,0.0053084170431585,0.4682627130047,1.04816046955895,0.0128118145332642,0.65,1.14329527635832,0.0217524862614708
"PAPUA BARAT",12,0.799849901697372,0.00184527715609422,0.344868423265444,1.22747962689401,0.032942318083528,0.5,1.30541581480748,0.0466017878441171
"RIAU",12,1.10303196994863,0.0163541072384245,0.317524122318561,1.2722618481936,0.0403727572252367,0.49,1.43020587390894,0.0761434309426265
"SULAWESI BARAT",12,1.11054530248918,0.0170650269099681,0.428672682221479,1.01296869162474,0.0103326722572584,0.58,1.07596527830446,0.0150673686425376
"SULAWESI SELATAN",12,0.914140286765987,0.00476143236650352,0.33463129379109,1.16257902314182,0.0240187919389468,0.99,2.01373389314547,0.357232749634566
"SULAWESI TENGAH",12,0.76484961871867,0.00132472031764471,0.395850515499965,1.1205259045284,0.0192855429317931,0.78,1.57159344996013,0.122430293760995
"SULAWESI TENGGARA",12,0.947404744717176,0.00607371024578513,0.554018768347996,0.917032436253266,0.00539423722770334,0.84,0.97285659886344,0.00796944379427297
"SULAWESI UTARA",12,1.39094500928282,0.0642319710617312,0.126096202851679,1.53779334274495,0.110060625934142,0.29,1.73278441159831,0.192957816183383
"SUMATERA BARAT",12,0.827770938558583,0.00236797313208998,0.3944276318092,1.13665106111812,0.0210097228465707,0.9,1.8946012140124,0.282018318581061
"SUMATERA SELATAN",12,0.732662484085233,0.000957046334942975,0.492279209840734,0.997120085671325,0.00934309953714502,0.99,1.64914751476825,0.153984125673186
"SUMATERA UTARA",12,0.875206263384798,0.00351965540740677,0.501575756734528,0.915879041248251,0.00534885921716603,0.67,1.0135189957167,0.0103683995720508
